,CO_ANO,CO_MES,Nome_UF,Nome_Município,SH4,CO_PAIS,KG_LIQUIDO,VL_FOB,NO_PAIS
8281,1997,3,Alagoas,União dos Palmares,1701,474,11250000,2616638,Marrocos
8530,1997,1,Alagoas,União dos Palmares,1701,240,10952590,2858626,Egito
8554,1997,9,Alagoas,Pilar,9998,990,100686,23208,Provisão de Navios e Aeronaves
8664,1997,3,Alagoas,São Luís do Quitunde,1701,249,1823510,787538,Estados Unidos
8668,1997,11,Alagoas,Arapiraca,2401,245,20418,29606,Espanha
8686,1997,6,Alagoas,Arapiraca,2401,474,900000,1335000,Marrocos
8758,1997,3,Alagoas,Maceió,2009,399,9840,29250,Japão
8822,1997,8,Alagoas,São José da Laje,1701,249,1039170,432310,Estados Unidos
8899,1997,4,Alagoas,Maceió,2903,399,8791027,2421928,Japão
8999,1997,4,Alagoas,Matriz de Camaragibe,1201,245,1612900,499999,Espanha
9001,1997,3,Alagoas,Maceió,1701,528,11000000,3162500,Nigéria
9017,1997,4,Alagoas,Maceió,6802,249,16967,23715,Estados Unidos
9078,1997,7,Alagoas,Coruripe,1701,676,1400000,356510,Rússia
9126,1997,4,Alagoas,Maceió,2009,573,17280,51840,Países Baixos (Holanda)
9186,1997,1,Alagoas,Atalaia,8482,158,8,410,Chile
9203,1997,6,Alagoas,Maceió,1701,251,14000000,3530800,Estônia
9220,1997,6,Alagoas,Coruripe,1701,249,4066460,1675658,Estados Unidos
9372,1997,7,Alagoas,Maceió,2009,611,39900,39900,Porto Rico
9385,1997,6,Alagoas,Maceió,1701,623,7000000,2034900,Quênia
9400,1997,3,Alagoas,Arapiraca,2401,249,208315,681084,Estados Unidos
9402,1997,2,Alagoas,Porto Calvo,901,23,216000,651214,Alemanha
9465,1997,4,Alagoas,Maceió,2009,611,39900,41230,Porto Rico
9492,1997,2,Alagoas,Arapiraca,2401,249,73908,243896,Estados Unidos
9543,1997,2,Alagoas,Marechal Deodoro,3904,845,102000,54900,Uruguai
9546,1997,10,Alagoas,Maceió,2903,63,4649476,1697059,Argentina
9602,1997,2,Alagoas,Marechal Deodoro,3923,845,6165,30517,Uruguai
9642,1997,10,Alagoas,Maceió,6802,249,18697,14528,Estados Unidos
9796,1997,8,Alagoas,Maceió,306,249,7439,219080,Estados Unidos
10062,1997,3,Alagoas,Maceió,1701,271,12000000,5066641,Finlândia
10100,1997,7,Alagoas,União dos Palmares,1701,676,12600000,3144456,Rússia
10210,1997,4,Alagoas,Lagoa da Canoa,2401,87,10000,17000,Bélgica
10258,1997,3,Alagoas,Maceió,2903,161,3428800,862137,Taiwan (Formosa)
10412,1997,7,Alagoas,Maceió,2903,361,6213533,2104058,Índia
10413,1997,7,Alagoas,São Luís do Quitunde,1701,249,2979190,1286653,Estados Unidos
10448,1997,12,Alagoas,União dos Palmares,1701,676,29900000,7475000,Rússia
10480,1997,1,Alagoas,Maceió,1701,244,24479000,5789575,Emirados Árabes Unidos
10486,1997,12,Alagoas,São José da Laje,1701,676,11000000,2670117,Rússia
10560,1997,7,Alagoas,Pilar,9998,990,100844,22539,Provisão de Navios e Aeronaves
10564,1997,12,Alagoas,Coruripe,1701,676,24124000,5715462,Rússia
10610,1997,6,Alagoas,Maceió,1701,780,6000000,1744200,Tanzânia
10647,1997,3,Alagoas,Pilar,9998,990,79797,19431,Provisão de Navios e Aeronaves
10676,1997,3,Alagoas,São Luís do Quitunde,1701,528,12000000,3884880,Nigéria
10740,1997,4,Alagoas,Maceió,1701,676,12600000,3002832,Rússia
10758,1997,2,Alagoas,São Luís do Quitunde,1701,249,1823510,787538,Estados Unidos
10868,1997,4,Alagoas,Maceió,6802,245,317629,38137,Espanha
10947,1997,2,Alagoas,Maceió,2009,611,13300,12502,Porto Rico
11170,1997,5,Alagoas,Coruripe,1701,249,6277790,2560397,Estados Unidos
11175,1997,10,Alagoas,Maceió,1701,111,13000000,3141143,Bulgária
11194,1997,5,Alagoas,Maceió,301,63,420,3500,Argentina
11214,1997,5,Alagoas,Lagoa da Canoa,2401,275,386946,773892,França
11218,1997,10,Alagoas,Maceió,1701,187,12000000,3007920,Coreia do Norte
11249,1997,10,Alagoas,Maceió,306,249,7546,227202,Estados Unidos
11292,1997,10,Alagoas,São José da Laje,1701,111,6000000,1433700,Bulgária
11357,1997,10,Alagoas,Marechal Deodoro,3924,586,9286,30216,Paraguai
11419,1997,5,Alagoas,Marechal Deodoro,3904,845,102000,75300,Uruguai
11579,1997,8,Alagoas,Arapiraca,2401,275,81827,118649,França
11613,1997,3,Alagoas,Maceió,301,63,75,1040,Argentina
11729,1997,1,Alagoas,Pilar,9998,990,67138,20040,Provisão de Navios e Aeronaves
11860,1997,11,Alagoas,Marechal Deodoro,3904,386,2013000,1207800,Itália
11863,1997,9,Alagoas,São Miguel dos Campos,4819,845,3077,5849,Uruguai
11947,1997,8,Alagoas,Maceió,301,386,120,550,Itália
12004,1997,7,Alagoas,Arapiraca,2401,275,339949,560916,França
12125,1997,3,Alagoas,Maceió,2903,399,9306744,2461075,Japão
12127,1997,8,Alagoas,Lagoa da Canoa,2401,245,265030,455787,Espanha
12191,1997,7,Alagoas,São Miguel dos Campos,4819,63,4720,4750,Argentina
12276,1997,3,Alagoas,Maceió,1701,607,12800000,5504512,Portugal
12320,1997,1,Alagoas,Marechal Deodoro,3923,845,10335,52499,Uruguai
12380,1997,11,Alagoas,Maceió,2815,815,1784347,228486,Trinidad e Tobago
12387,1997,1,Alagoas,Maceió,2009,611,13300,12502,Porto Rico
12517,1997,9,Alagoas,Maceió,2007,63,1068,2395,Argentina
12521,1997,6,Alagoas,Maceió,1702,149,8500000,1562593,Canadá
12622,1997,6,Alagoas,Maceió,6802,249,18778,25865,Estados Unidos
12696,1997,10,Alagoas,Maceió,1701,149,17775000,4301550,Canadá
12817,1997,5,Alagoas,Arapiraca,2401,275,246296,434079,França
12957,1998,7,Alagoas,Lagoa da Canoa,2401,275,211899,466178,França
12997,1998,12,Alagoas,Rio Largo,9998,990,119875,34014,Provisão de Navios e Aeronaves
13028,1998,8,Alagoas,Marechal Deodoro,3904,845,1629500,918440,Uruguai
13040,1998,11,Alagoas,Maceió,2903,399,10002521,729503,Japão
