,Unnamed: 0,CO_ANO,CO_MES,Nome_UF,Nome_Município,SH4,CO_PAIS,KG_LIQUIDO,VL_FOB,NO_PAIS
39619,863787,2023,6,Alagoas,Maceió,707,301,77,54,Grécia
38673,855391,2023,3,Alagoas,Maceió,708,23,7,9,Alemanha
43791,899275,2023,11,Alagoas,Maceió,707,267,10,14,Filipinas
32144,792229,2022,7,Alagoas,Maceió,1806,628,2,10,Reino Unido
20171,664470,2020,12,Alagoas,Japaratinga,4015,628,57,3877,Reino Unido
17276,634531,2020,6,Alagoas,Maceió,1512,232,100,188,Dinamarca
32526,795908,2022,5,Alagoas,Maceió,708,538,16,28,Noruega
11978,577708,2019,11,Alagoas,Maceió,2007,467,0,10,Malta
14092,600753,2019,9,Alagoas,Maceió,4402,105,40,21,Brasil
33984,811161,2022,8,Alagoas,Maceió,1517,40,366,2239,Angola
14279,602641,2019,6,Alagoas,Marechal Deodoro,6907,193,175484,40195,Costa do Marfim
23755,702247,2021,6,Alagoas,Maceió,9609,160,1,2,China
31198,783062,2022,2,Alagoas,Maceió,401,573,294,362,Países Baixos (Holanda)
7342,478269,2016,9,Alagoas,Pilar,9998,990,43276,29882,Provisão de Navios e Aeronaves
15360,614344,2019,11,Alagoas,Maceió,2009,467,46,38,Malta
21545,678686,2020,4,Alagoas,Maceió,8481,476,0,14,"Marshall, Ilhas"
6416,414301,2014,7,Alagoas,Maceió,7204,245,26870,16391,Espanha
46884,925460,2024,7,Alagoas,Maceió,2836,575,5,31,Palau
35804,829825,2022,5,Alagoas,Maceió,1509,301,10,124,Grécia
29867,769957,2022,9,Alagoas,Maceió,803,741,71,89,Singapura
27194,740698,2021,3,Alagoas,Maceió,2004,434,16,28,Libéria
24116,706098,2021,2,Alagoas,Maceió,3215,476,0,4,"Marshall, Ilhas"
26207,728857,2021,3,Alagoas,Maceió,207,351,62,188,Hong Kong
28089,750662,2021,1,Alagoas,Maceió,707,160,40,38,China
7318,477318,2016,6,Alagoas,Marechal Deodoro,6908,391,26568,5997,Jamaica
21249,675592,2020,9,Alagoas,Maceió,407,628,76,122,Reino Unido
11546,572837,2019,9,Alagoas,Maceió,3307,476,6,70,"Marshall, Ilhas"
13441,593404,2019,12,Alagoas,Maceió,3306,160,0,0,China
